accelerationX,accelerationY,accelerationZ,accelerationIncludingGravityX,accelerationIncludingGravityY,accelerationIncludingGravityZ,rotationRateA,rotationRateB,rotationRateG,latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
-0.0006799697875976562,-0.0009040795266628265,0.00052642822265625,4.1021728515625,0.0316619873046875,5.3528289794921875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1677116,72.8505587,-50.400001525878906,21.44499969482422,null,null,null,1540535745586
0,0,0,4.17156982421875,3.7740325927734375,6.0754547119140625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1676868,72.8505786,null,21.264999389648438,null,null,null,1540535748637
0,0,0,7.9976959228515625,3.735748291015625,7.8652801513671875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1676692,72.8505938,null,20.788999557495117,null,null,null,1540535750228
0,0,0,5.5546112060546875,4.4775238037109375,6.781341552734375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1676377,72.8506169,null,21.024999618530273,null,null,null,1540535754642
0,0,0,4.858306884765625,5.118804931640625,6.24774169921875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1675634,72.850643,null,20.36199951171875,null,null,null,1540535758236
0,0,0,6.676849365234375,4.7287750244140625,8.181137084960938,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1675135,72.8506447,null,20.573999404907227,null,null,null,1540535761262
0,0,0,6.52850341796875,4.3411407470703125,6.9560089111328125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1673304,72.8505926,-50,19.58099937438965,null,null,null,1540535764188
0,0,0,5.66229248046875,4.7838134765625,6.525299072265625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1672272,72.850549,-50,19.479000091552734,null,null,null,1540535767137
0,0,0,6.36578369140625,2.61590576171875,6.9129486083984375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1670521,72.8505428,null,19.149999618530273,null,null,null,1540535770263
0,0,0,4.071075439453125,0.778228759765625,5.1494293212890625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1669024,72.8506326,-50,19.422000885009766,null,null,null,1540535773470
0,0,0,5.2076568603515625,3.429473876953125,5.379150390625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1667699,72.8507826,-50,19.136999130249023,null,null,null,1540535775924
0,0,0,5.5235137939453125,3.147125244140625,5.55621337890625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1667174,72.8508415,-50,19.891000747680664,null,null,null,1540535778925
0,0,0,4.91094970703125,1.06536865234375,5.455718994140625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1666246,72.8509423,-50,20.333999633789062,null,null,null,1540535781928
-0.00089263916015625,-0.0010714530944824219,0.0013737678527832031,5.609649658203125,3.8506011962890625,6.6473388671875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1665036,72.8510823,-41.20000076293945,19.923999786376953,null,null,null,1540535784930
